	S.Agona_03	S.Agona_01	S.Enteritidis_04	S.Agona_02	S.GoldCoast_02	S.Enteritidis_03	S.GoldCoast_03	S.Enteritidis_01	S.GoldCoast_01	S.Enteritidis_02
accC	15ab5720938555fbf6f3d5bc578bddeb4a81abb370083be1bc650f566117473c	15ab5720938555fbf6f3d5bc578bddeb4a81abb370083be1bc650f566117473c	48b777a9bdc58696010dca0a64deafe4065fb1ec7028c7ef74ff59c9e251adc3	15ab5720938555fbf6f3d5bc578bddeb4a81abb370083be1bc650f566117473c	445ef59da6b8baf490a23be36489cda87775c1eec8ff56a9b3b0a253c3694521	48b777a9bdc58696010dca0a64deafe4065fb1ec7028c7ef74ff59c9e251adc3	445ef59da6b8baf490a23be36489cda87775c1eec8ff56a9b3b0a253c3694521	48b777a9bdc58696010dca0a64deafe4065fb1ec7028c7ef74ff59c9e251adc3	445ef59da6b8baf490a23be36489cda87775c1eec8ff56a9b3b0a253c3694521	48b777a9bdc58696010dca0a64deafe4065fb1ec7028c7ef74ff59c9e251adc3
accD	cbea2c11eecb5189b5999d9750c2fa56293e6e8c8a57634e937ae98ccad27164	cbea2c11eecb5189b5999d9750c2fa56293e6e8c8a57634e937ae98ccad27164	35fb81152f621807c55fa176c823252fc9c00ad192a7a74948eca0b40a24c9fc	cbea2c11eecb5189b5999d9750c2fa56293e6e8c8a57634e937ae98ccad27164	8e72a68f2d65eb2076ff4cbfab1a7e40cf046deaab9037606c910c5cd2798686	35fb81152f621807c55fa176c823252fc9c00ad192a7a74948eca0b40a24c9fc	8e72a68f2d65eb2076ff4cbfab1a7e40cf046deaab9037606c910c5cd2798686	35fb81152f621807c55fa176c823252fc9c00ad192a7a74948eca0b40a24c9fc	8e72a68f2d65eb2076ff4cbfab1a7e40cf046deaab9037606c910c5cd2798686	35fb81152f621807c55fa176c823252fc9c00ad192a7a74948eca0b40a24c9fc
aceA	1aef948298215edbc7f8f71b237733d9ea4d98c0ba2a0f3ee751d73b8542e421	1aef948298215edbc7f8f71b237733d9ea4d98c0ba2a0f3ee751d73b8542e421	b534d08f05176ec5685c4210bef5deabcde29bb7fac625be4e777c5fe122f1aa	1aef948298215edbc7f8f71b237733d9ea4d98c0ba2a0f3ee751d73b8542e421	b943bc07016217fa4821b5e9d8fa79cfee294c146fce5f5c3017d71267c0381b	b534d08f05176ec5685c4210bef5deabcde29bb7fac625be4e777c5fe122f1aa	b943bc07016217fa4821b5e9d8fa79cfee294c146fce5f5c3017d71267c0381b	34900372d05a54d5bef1e71c77a9cb06e7bb701a9697cfa58a959de118f49fa8	b943bc07016217fa4821b5e9d8fa79cfee294c146fce5f5c3017d71267c0381b	b534d08f05176ec5685c4210bef5deabcde29bb7fac625be4e777c5fe122f1aa
aceB	2812e2d19af550c946319554fb7f341f3e2142e9440764d30686c3dc2f980d8b	2812e2d19af550c946319554fb7f341f3e2142e9440764d30686c3dc2f980d8b	f0ad5d869721ec5aca54f5dbf46a1c41c11bb8f1ae929f4e19c298e814857212	2812e2d19af550c946319554fb7f341f3e2142e9440764d30686c3dc2f980d8b	77dbd67c1239ece594c24ebd2ee105248ac7a5e38371c9fc44b94f27bec06832	f0ad5d869721ec5aca54f5dbf46a1c41c11bb8f1ae929f4e19c298e814857212	77dbd67c1239ece594c24ebd2ee105248ac7a5e38371c9fc44b94f27bec06832	f0ad5d869721ec5aca54f5dbf46a1c41c11bb8f1ae929f4e19c298e814857212	77dbd67c1239ece594c24ebd2ee105248ac7a5e38371c9fc44b94f27bec06832	f0ad5d869721ec5aca54f5dbf46a1c41c11bb8f1ae929f4e19c298e814857212
aceE	1ab4ea7db9e9888721eada4558ca8b649de402fc21ecc01a70089815b1b12720	1ab4ea7db9e9888721eada4558ca8b649de402fc21ecc01a70089815b1b12720	5a1cdb7618ac7cf9b285ccd8a73a1ead3b06785eff80a2ecf6e6c7b8a1ebc272	1ab4ea7db9e9888721eada4558ca8b649de402fc21ecc01a70089815b1b12720	91f1d6552013267762ad217a2c49cce43fbb76f5a295336093c103b8ac467792	5a1cdb7618ac7cf9b285ccd8a73a1ead3b06785eff80a2ecf6e6c7b8a1ebc272	91f1d6552013267762ad217a2c49cce43fbb76f5a295336093c103b8ac467792	5a1cdb7618ac7cf9b285ccd8a73a1ead3b06785eff80a2ecf6e6c7b8a1ebc272	91f1d6552013267762ad217a2c49cce43fbb76f5a295336093c103b8ac467792	5a1cdb7618ac7cf9b285ccd8a73a1ead3b06785eff80a2ecf6e6c7b8a1ebc272
aceF	029c75acaa602dfa3c68c75b1580b62ea8d299f9d97d0b7189cf03fb25b366ff	029c75acaa602dfa3c68c75b1580b62ea8d299f9d97d0b7189cf03fb25b366ff	d3ba05e9654b87fd0678e7160084d08759c57a80e312dd934f2c1ba9ccd4b96f	029c75acaa602dfa3c68c75b1580b62ea8d299f9d97d0b7189cf03fb25b366ff	c1051d8f8c75f39559fdf19992c617747fb90823b4764ed297273cad13b8a59a	d3ba05e9654b87fd0678e7160084d08759c57a80e312dd934f2c1ba9ccd4b96f	c1051d8f8c75f39559fdf19992c617747fb90823b4764ed297273cad13b8a59a	d3ba05e9654b87fd0678e7160084d08759c57a80e312dd934f2c1ba9ccd4b96f	c1051d8f8c75f39559fdf19992c617747fb90823b4764ed297273cad13b8a59a	d3ba05e9654b87fd0678e7160084d08759c57a80e312dd934f2c1ba9ccd4b96f
aceK	542d228271c64759f3a39569dc2c5337429451ca77427da021cb1152e543efbc	542d228271c64759f3a39569dc2c5337429451ca77427da021cb1152e543efbc	c287778e21deda1b49293c409b2a3be8dc34973a9127f29ad5d91a633ed1ba71	542d228271c64759f3a39569dc2c5337429451ca77427da021cb1152e543efbc	019f3c902a36fec01de6fba6454d5dab347d24643b82216ffa9c04cb94f63f9b	c287778e21deda1b49293c409b2a3be8dc34973a9127f29ad5d91a633ed1ba71	019f3c902a36fec01de6fba6454d5dab347d24643b82216ffa9c04cb94f63f9b	c287778e21deda1b49293c409b2a3be8dc34973a9127f29ad5d91a633ed1ba71	019f3c902a36fec01de6fba6454d5dab347d24643b82216ffa9c04cb94f63f9b	c287778e21deda1b49293c409b2a3be8dc34973a9127f29ad5d91a633ed1ba71
ackA	73f5aa55fa783f0b6b7383293b860228a4497f592faaddcc806495bf80dad7b7	73f5aa55fa783f0b6b7383293b860228a4497f592faaddcc806495bf80dad7b7	b1239666b2688483677df9eebf2c2554457c16fe0575ebc03a83108a899a09bd	73f5aa55fa783f0b6b7383293b860228a4497f592faaddcc806495bf80dad7b7	a1e72b1273f56f033ebdb7ba3af8c875d666c1564f4a22d9b1c4546bf7ef2f72	b1239666b2688483677df9eebf2c2554457c16fe0575ebc03a83108a899a09bd	a1e72b1273f56f033ebdb7ba3af8c875d666c1564f4a22d9b1c4546bf7ef2f72	b1239666b2688483677df9eebf2c2554457c16fe0575ebc03a83108a899a09bd	a1e72b1273f56f033ebdb7ba3af8c875d666c1564f4a22d9b1c4546bf7ef2f72	b1239666b2688483677df9eebf2c2554457c16fe0575ebc03a83108a899a09bd
acnA	fdb7e57747dfa250e10ccb4f03648a508e46213a90cf413f790717045a90e1f5	fdb7e57747dfa250e10ccb4f03648a508e46213a90cf413f790717045a90e1f5	b248f63fbecf275354361992c837bdaab53b6dff0d3a3e3d337963d27b0b0529	fdb7e57747dfa250e10ccb4f03648a508e46213a90cf413f790717045a90e1f5	9e045a0a0e2c08c70dd611dc76d400ed39260218b39a5bb85a347a80055a9245	b248f63fbecf275354361992c837bdaab53b6dff0d3a3e3d337963d27b0b0529	9e045a0a0e2c08c70dd611dc76d400ed39260218b39a5bb85a347a80055a9245	b248f63fbecf275354361992c837bdaab53b6dff0d3a3e3d337963d27b0b0529	9e045a0a0e2c08c70dd611dc76d400ed39260218b39a5bb85a347a80055a9245	b248f63fbecf275354361992c837bdaab53b6dff0d3a3e3d337963d27b0b0529
acnB	c7fd6d84e01ff7fae2e3aa25cb57c5d33e394e41a2cdb5690eec9b1e6ae8f438	c7fd6d84e01ff7fae2e3aa25cb57c5d33e394e41a2cdb5690eec9b1e6ae8f438	733e27b8f84f298c58ac7e5c917ea543ca32e44a2c7cbb7b7d9f1fb5b7ffebaf	c7fd6d84e01ff7fae2e3aa25cb57c5d33e394e41a2cdb5690eec9b1e6ae8f438	e8754388a9e72a1b2cfb9ed7a98ec442f0b480b05cb55b347bbd00f9d4be9bb3	733e27b8f84f298c58ac7e5c917ea543ca32e44a2c7cbb7b7d9f1fb5b7ffebaf	e8754388a9e72a1b2cfb9ed7a98ec442f0b480b05cb55b347bbd00f9d4be9bb3	733e27b8f84f298c58ac7e5c917ea543ca32e44a2c7cbb7b7d9f1fb5b7ffebaf	e8754388a9e72a1b2cfb9ed7a98ec442f0b480b05cb55b347bbd00f9d4be9bb3	733e27b8f84f298c58ac7e5c917ea543ca32e44a2c7cbb7b7d9f1fb5b7ffebaf
acpH	862d6eca8be70e92c318bfcd6d38e70a0c57182230ed82968c452287cc514b3d	862d6eca8be70e92c318bfcd6d38e70a0c57182230ed82968c452287cc514b3d	1c52cc84fdbb63fe7032c5b4725da26526b76a7211f7ec35142028c41c590dee	862d6eca8be70e92c318bfcd6d38e70a0c57182230ed82968c452287cc514b3d	41f414459f4bbb0ec54955c678737e2da173ae0411503d38be95491b2bdf24bc	1c52cc84fdbb63fe7032c5b4725da26526b76a7211f7ec35142028c41c590dee	41f414459f4bbb0ec54955c678737e2da173ae0411503d38be95491b2bdf24bc	1c52cc84fdbb63fe7032c5b4725da26526b76a7211f7ec35142028c41c590dee	41f414459f4bbb0ec54955c678737e2da173ae0411503d38be95491b2bdf24bc	1c52cc84fdbb63fe7032c5b4725da26526b76a7211f7ec35142028c41c590dee
acpP_1	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	43d0a2af289c182b7a11532eb50e14374b4529e5452c957f6fadf1314685edda	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	43d0a2af289c182b7a11532eb50e14374b4529e5452c957f6fadf1314685edda	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	43d0a2af289c182b7a11532eb50e14374b4529e5452c957f6fadf1314685edda	ae05b20216b263c3fff4001c4acdd733c0101dfbd2de75ffa241dc67ee45f98c	43d0a2af289c182b7a11532eb50e14374b4529e5452c957f6fadf1314685edda
acpP_2	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110	3569913774f0ebe2b841fd835de69aad49ad3fa1cdc939795a056ab0c19fb110
acpS	ee6649875fb7dbd56ea520c0fad0bce22ac0b734ddab8419ab7c1313c2269cc7	ee6649875fb7dbd56ea520c0fad0bce22ac0b734ddab8419ab7c1313c2269cc7	9b819d9701f085c1fa89524e16dbaa2c8c8a3fe58759a3acde8078e6ba77b333	ee6649875fb7dbd56ea520c0fad0bce22ac0b734ddab8419ab7c1313c2269cc7	1bc92e54017fbe1ebef26079b45c9de669f08fa923eb151325344a377dfbf819	9b819d9701f085c1fa89524e16dbaa2c8c8a3fe58759a3acde8078e6ba77b333	1bc92e54017fbe1ebef26079b45c9de669f08fa923eb151325344a377dfbf819	9b819d9701f085c1fa89524e16dbaa2c8c8a3fe58759a3acde8078e6ba77b333	1bc92e54017fbe1ebef26079b45c9de669f08fa923eb151325344a377dfbf819	9b819d9701f085c1fa89524e16dbaa2c8c8a3fe58759a3acde8078e6ba77b333
acrA	71b1f5461ac73752c31dc32d7e493920382fcda52c1e0814ca686111d2b799b4	71b1f5461ac73752c31dc32d7e493920382fcda52c1e0814ca686111d2b799b4	19708503871923ee2c0ce0d2f530e9efbcd086a63622fdd1176b0b2f61dd3116	71b1f5461ac73752c31dc32d7e493920382fcda52c1e0814ca686111d2b799b4	be4c1403ff685422bf4c5f880747515a434c78ee7c6b1e576122e5047965b20e	19708503871923ee2c0ce0d2f530e9efbcd086a63622fdd1176b0b2f61dd3116	be4c1403ff685422bf4c5f880747515a434c78ee7c6b1e576122e5047965b20e	19708503871923ee2c0ce0d2f530e9efbcd086a63622fdd1176b0b2f61dd3116	be4c1403ff685422bf4c5f880747515a434c78ee7c6b1e576122e5047965b20e	19708503871923ee2c0ce0d2f530e9efbcd086a63622fdd1176b0b2f61dd3116
acrB_1	fedae13cc3a83ff47e2a6c5de6052ac701a28e9da7f0737d2ab3a7efa12dc8a6	fedae13cc3a83ff47e2a6c5de6052ac701a28e9da7f0737d2ab3a7efa12dc8a6	bb71c15a68c984e1b1ec09a41719908570ac34f854a535974deaf41d7c188b7e	fedae13cc3a83ff47e2a6c5de6052ac701a28e9da7f0737d2ab3a7efa12dc8a6	701d651feb4de75ec6ad76148b2d86c173cd17bdff6fbe61a44a0a2a467f8cd8	bb71c15a68c984e1b1ec09a41719908570ac34f854a535974deaf41d7c188b7e	060698e066b38b601af809f6c79d8c66b7c173521f1e78e2222454ceca8d42c1	bb71c15a68c984e1b1ec09a41719908570ac34f854a535974deaf41d7c188b7e	701d651feb4de75ec6ad76148b2d86c173cd17bdff6fbe61a44a0a2a467f8cd8	bb71c15a68c984e1b1ec09a41719908570ac34f854a535974deaf41d7c188b7e
acrB_2	614845373469e233e8324b64e460ab61eea5326f263e4da770f7a2759ec05efe	614845373469e233e8324b64e460ab61eea5326f263e4da770f7a2759ec05efe	e3cea678acf6b308377e9a0120a4178ee19256945e4e1876d665291976d5c72f	614845373469e233e8324b64e460ab61eea5326f263e4da770f7a2759ec05efe	5a631477177afad41cafa9ea1da074bd4751506f5eb02554f70818b75bf94a28	e3cea678acf6b308377e9a0120a4178ee19256945e4e1876d665291976d5c72f	5a631477177afad41cafa9ea1da074bd4751506f5eb02554f70818b75bf94a28	e3cea678acf6b308377e9a0120a4178ee19256945e4e1876d665291976d5c72f	8f2b87a3d1375f8a2936e296c515d8a0c032e8201084453aa22125e4d647818b	e3cea678acf6b308377e9a0120a4178ee19256945e4e1876d665291976d5c72f
acrZ	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d	e7cf5d234ac85c169d7946446f0620e5674b5a71b65a74c74ac52eb0f7bf174d
acs_1	dd00b5d39a68ebce6fde36ce633184a9bffac35d34fa3255871ee6a7c3836be9	dd00b5d39a68ebce6fde36ce633184a9bffac35d34fa3255871ee6a7c3836be9	c29c69577fe28de1d6da124af30428fa2cf6ecb0d528797e6336777c8b6ac17e	dd00b5d39a68ebce6fde36ce633184a9bffac35d34fa3255871ee6a7c3836be9	da0160e15ce10e802a599a16f9741126869ee3949cf58aafc21b4ee72f647caf	c29c69577fe28de1d6da124af30428fa2cf6ecb0d528797e6336777c8b6ac17e	da0160e15ce10e802a599a16f9741126869ee3949cf58aafc21b4ee72f647caf	c29c69577fe28de1d6da124af30428fa2cf6ecb0d528797e6336777c8b6ac17e	da0160e15ce10e802a599a16f9741126869ee3949cf58aafc21b4ee72f647caf	c29c69577fe28de1d6da124af30428fa2cf6ecb0d528797e6336777c8b6ac17e
acs_2	c8c93ddd72fe13410e8ef007fc07bde709fafda69802452e8b301315485d9fef	c8c93ddd72fe13410e8ef007fc07bde709fafda69802452e8b301315485d9fef	ef93e0b50c2d3631a894748a344e9836a9d726007e16d39131ac7ec955e96ccf	c8c93ddd72fe13410e8ef007fc07bde709fafda69802452e8b301315485d9fef	d7225575e15cd088a87d9ed8205013f753524194b0fad95cd9b25d65d8bd9cd8	ef93e0b50c2d3631a894748a344e9836a9d726007e16d39131ac7ec955e96ccf	d7225575e15cd088a87d9ed8205013f753524194b0fad95cd9b25d65d8bd9cd8	ef93e0b50c2d3631a894748a344e9836a9d726007e16d39131ac7ec955e96ccf	d7225575e15cd088a87d9ed8205013f753524194b0fad95cd9b25d65d8bd9cd8	ef93e0b50c2d3631a894748a344e9836a9d726007e16d39131ac7ec955e96ccf
actP_1	4dcd111340370bfb654f961b9e5cafd7eac604023b2cbfa0d7dc738775503e1b	4dcd111340370bfb654f961b9e5cafd7eac604023b2cbfa0d7dc738775503e1b	d318a681b9f6ca4fd27003b950d31e578c295fe6df28610d9b529732301c62d1	4dcd111340370bfb654f961b9e5cafd7eac604023b2cbfa0d7dc738775503e1b	10f43ba39edfadff239237466e71575b31420c436564dc67397b18e1b0183a0b	d318a681b9f6ca4fd27003b950d31e578c295fe6df28610d9b529732301c62d1	10f43ba39edfadff239237466e71575b31420c436564dc67397b18e1b0183a0b	d318a681b9f6ca4fd27003b950d31e578c295fe6df28610d9b529732301c62d1	10f43ba39edfadff239237466e71575b31420c436564dc67397b18e1b0183a0b	d318a681b9f6ca4fd27003b950d31e578c295fe6df28610d9b529732301c62d1
acuI	0edd29645340c0bc9cd10bb223a18af91d9bca0cce12fead2a46381bc47965f9	0edd29645340c0bc9cd10bb223a18af91d9bca0cce12fead2a46381bc47965f9	7361393a4c6b219232eeb6690e09c51417880f9d6f3d7b06fdb520f350ef464f	0edd29645340c0bc9cd10bb223a18af91d9bca0cce12fead2a46381bc47965f9	12d3409954901a5a9430679dffea32a3828a1a0e7fd5b65526655d1625b4f1a2	7361393a4c6b219232eeb6690e09c51417880f9d6f3d7b06fdb520f350ef464f	12d3409954901a5a9430679dffea32a3828a1a0e7fd5b65526655d1625b4f1a2	7361393a4c6b219232eeb6690e09c51417880f9d6f3d7b06fdb520f350ef464f	12d3409954901a5a9430679dffea32a3828a1a0e7fd5b65526655d1625b4f1a2	7361393a4c6b219232eeb6690e09c51417880f9d6f3d7b06fdb520f350ef464f
